ACCT_ID,CUST_ID,FIRST_NM,LAST_NM,CUST_ADDR,CUST_PHN,CUST_EML_ADDR,AGE,DOB,CUST_TYP
1023,70053,ANNA,PATEL,127 High Street,2363709502,c1023@mail.example,48,1978-03-04,RET
1024,70054,TOM,CHEN,881 High Street,2582442793,c1024@mail.example,43,1972-04-23,CORP
1025,70055,LIAM,LARSEN,160 High Street,2902525831,c1025@mail.example,51,1973-07-09,CORP
1026,70056,KAI,HAYES,567 High Street,2014319460,c1026@mail.example,58,1957-12-15,RET
1027,70057,MIA,IQBAL,138 High Street,2145847601,c1027@mail.example,21,1955-11-03,CORP
1028,70058,TOM,SINGH,326 High Street,2879715539,c1028@mail.example,78,1980-04-15,RET
1029,70059,MAX,WEISS,888 High Street,2085678903,c1029@mail.example,31,1994-03-27,CORP
1030,70060,NOAH,KIM,907 High Street,2711390800,c1030@mail.example,38,1983-03-08,RET
1031,70061,MAX,MORI,622 High Street,2212192106,c1031@mail.example,25,1996-05-26,RET
1032,70062,OMAR,SILVA,678 High Street,2914281735,c1032@mail.example,50,1986-04-03,RET
1033,70063,IVY,NOVAK,959 High Street,2376219862,c1033@mail.example,48,1978-02-07,CORP
1034,70064,KAI,WEISS,506 High Street,2086246618,c1034@mail.example,23,1974-05-13,CORP
1035,70065,NINA,RIVERA,297 High Street,2484378654,c1035@mail.example,66,1966-10-18,CORP
1036,70066,MAX,COSTA,319 High Street,2682923879,c1036@mail.example,57,1961-09-06,RET
1037,70067,ANNA,LARSEN,745 High Street,2898706511,c1037@mail.example,76,1996-03-05,CORP
1038,70068,MIA,KIM,615 High Street,2469007655,c1038@mail.example,34,1963-11-13,CORP
1039,70069,MAX,HAYES,486 High Street,2566894629,c1039@mail.example,40,1962-10-07,CORP
1040,70070,TOM,KIM,822 High Street,2075496516,c1040@mail.example,64,1980-09-02,RET
1041,70071,ZOE,SILVA,933 High Street,2616543446,c1041@mail.example,76,1987-08-23,RET
1042,70072,AVA,SILVA,944 High Street,2759312251,c1042@mail.example,77,1996-06-16,RET
1043,70073,LIAM,PATEL,480 High Street,2417565964,c1043@mail.example,74,1990-10-03,RET
1044,70074,ANNA,WEISS,309 High Street,2143285609,c1044@mail.example,35,1973-12-14,RET
1045,70075,IVY,NOVAK,853 High Street,2734577510,c1045@mail.example,28,1974-04-20,CORP
1046,70076,TOM,CHEN,126 High Street,2845455883,c1046@mail.example,33,1964-02-09,CORP
1047,70077,MIA,OKAFOR,985 High Street,2213078567,c1047@mail.example,23,1962-05-12,CORP
1048,70078,ZOE,BAKER,244 High Street,2965895962,c1048@mail.example,27,1975-11-15,CORP
1049,70079,NINA,COSTA,880 High Street,2180522323,c1049@mail.example,71,1966-10-05,CORP
1050,70080,RAVI,KIM,534 High Street,2608360203,c1050@mail.example,79,1964-12-05,CORP
1051,70081,AVA,PATEL,59 High Street,2377532231,c1051@mail.example,50,1951-08-21,CORP
1052,70082,NOAH,RIVERA,230 High Street,2169054021,c1052@mail.example,46,1994-04-15,CORP
1053,70083,ZOE,MORI,463 High Street,2337198997,c1053@mail.example,38,1959-10-08,CORP
1054,70084,LEO,WEISS,479 High Street,2518178467,c1054@mail.example,68,1983-12-14,RET
1055,70085,LEO,IQBAL,543 High Street,2463259796,c1055@mail.example,69,1960-04-16,CORP
1056,70086,NINA,PATEL,108 High Street,2116211001,c1056@mail.example,66,1955-10-27,CORP
1057,70087,RAVI,IQBAL,751 High Street,2621843070,c1057@mail.example,78,1972-01-15,RET
1058,70088,LIAM,DUBOIS,7 High Street,2884932975,c1058@mail.example,71,1983-02-03,CORP
1059,70089,SARA,OKAFOR,629 High Street,2871001122,c1059@mail.example,29,1993-05-19,RET
1060,70090,SARA,CHEN,208 High Street,2088209323,c1060@mail.example,23,1959-08-28,CORP
1061,70091,LEO,WEISS,315 High Street,2328230311,c1061@mail.example,77,1970-05-11,RET
1062,70092,RAVI,COSTA,861 High Street,2553481261,c1062@mail.example,75,1998-01-11,RET
1063,70093,AVA,SILVA,879 High Street,2549006410,c1063@mail.example,45,1978-11-01,RET
1064,70094,LIAM,OKAFOR,283 High Street,2301350802,c1064@mail.example,28,1971-07-14,CORP
1065,70095,SARA,NOVAK,482 High Street,2357233866,c1065@mail.example,67,1985-11-20,RET
1066,70096,TOM,HAYES,774 High Street,2292900012,c1066@mail.example,56,1971-09-28,CORP
1067,70000,LEO,LARSEN,339 High Street,2326260382,c1067@mail.example,59,1980-09-06,RET
1068,70001,ELI,NOVAK,728 High Street,2390538929,c1068@mail.example,54,1983-01-07,CORP
1069,70002,LEO,BAKER,325 High Street,2627150500,c1069@mail.example,53,1956-11-12,RET
1070,70003,LEO,MORI,630 High Street,2318888376,c1070@mail.example,45,1974-08-27,CORP
1071,70004,NOAH,RIVERA,987 High Street,2116378817,c1071@mail.example,26,1998-07-10,RET
1072,70005,ANNA,NOVAK,126 High Street,2216460570,c1072@mail.example,58,1984-10-28,CORP
1073,70006,NOAH,LARSEN,991 High Street,2716629808,c1073@mail.example,48,1990-04-15,RET
1074,70007,ANNA,SINGH,648 High Street,2696132675,c1074@mail.example,48,1958-08-17,CORP
1075,70008,RAVI,BAKER,799 High Street,2998933289,c1075@mail.example,41,1992-07-22,RET
1076,70009,ANNA,OKAFOR,652 High Street,2980097878,c1076@mail.example,62,1955-09-15,CORP
1077,70010,NOAH,CHEN,198 High Street,2903549501,c1077@mail.example,35,1980-07-23,RET
1078,70011,NOAH,WEISS,148 High Street,2713969234,c1078@mail.example,38,1981-12-27,CORP
1079,70012,ELI,NOVAK,216 High Street,2769241010,c1079@mail.example,74,1966-11-07,RET
1080,70013,ELI,BAKER,274 High Street,2125268665,c1080@mail.example,69,1956-02-17,CORP
1081,70014,OMAR,OKAFOR,817 High Street,2743138463,c1081@mail.example,53,1997-11-17,CORP
1082,70015,TOM,HAYES,784 High Street,2769130670,c1082@mail.example,53,1975-03-07,CORP
1083,70016,OMAR,PATEL,961 High Street,2752519060,c1083@mail.example,42,1967-05-13,RET
1084,70017,RAVI,SINGH,921 High Street,2382163673,c1084@mail.example,64,1993-05-09,CORP
1085,70018,MAX,PATEL,280 High Street,2511379173,c1085@mail.example,42,1950-12-12,RET
1086,70019,NINA,DUBOIS,977 High Street,2805413824,c1086@mail.example,44,1995-11-26,RET
1087,70020,TOM,BAKER,388 High Street,2396036071,c1087@mail.example,30,1970-04-25,CORP
1088,70021,LIAM,PATEL,567 High Street,2776943073,c1088@mail.example,72,1991-04-27,RET
1089,70022,OMAR,RIVERA,224 High Street,2897388192,c1089@mail.example,64,1960-06-26,CORP
1090,70023,IVY,CHEN,868 High Street,2964116724,c1090@mail.example,58,1957-02-28,CORP
1091,70024,SARA,MORI,303 High Street,2820243681,c1091@mail.example,41,1969-09-21,RET
1092,70025,TOM,IQBAL,160 High Street,2653447392,c1092@mail.example,64,1955-07-19,RET
1093,70026,KAI,OKAFOR,734 High Street,2896805779,c1093@mail.example,34,1961-06-04,CORP
1094,70027,OMAR,SINGH,420 High Street,2764105699,c1094@mail.example,39,1993-11-11,RET
1095,70028,TOM,RIVERA,186 High Street,2812771537,c1095@mail.example,79,1952-12-13,RET
1096,70029,IVY,SINGH,743 High Street,2392955284,c1096@mail.example,35,1960-02-14,CORP
1097,70030,ZOE,WEISS,76 High Street,2639692395,c1097@mail.example,42,1954-11-26,RET
1098,70031,ANNA,RIVERA,998 High Street,2135108218,c1098@mail.example,33,1951-09-17,CORP
1099,70032,MAX,SILVA,56 High Street,2040236399,c1099@mail.example,71,1987-12-04,CORP
1100,70033,KAI,SILVA,480 High Street,2008363113,c1100@mail.example,42,1950-01-17,CORP
1101,70034,SARA,WEISS,653 High Street,2937950885,c1101@mail.example,63,1997-01-10,RET
1102,70035,LIAM,NOVAK,46 High Street,2857308543,c1102@mail.example,35,1967-02-07,RET
1103,70036,LIAM,SILVA,101 High Street,2423547533,c1103@mail.example,78,1977-11-26,RET
1104,70037,ELI,MORI,946 High Street,2376957857,c1104@mail.example,31,1987-09-10,RET
1105,70038,LEO,NOVAK,195 High Street,2824200701,c1105@mail.example,65,1985-03-09,RET
1106,70039,LIAM,PATEL,913 High Street,2676635485,c1106@mail.example,63,1994-06-21,CORP
1107,70040,SARA,KIM,610 High Street,2899539348,c1107@mail.example,65,1986-07-28,CORP
1108,70041,NINA,COSTA,508 High Street,2151417690,c1108@mail.example,36,1955-06-06,CORP
1109,70042,TOM,PATEL,468 High Street,2801196868,c1109@mail.example,44,1952-09-11,RET
1110,70043,IVY,LARSEN,485 High Street,2187488833,c1110@mail.example,24,1972-06-27,RET
1111,70044,AVA,RIVERA,661 High Street,2275076670,c1111@mail.example,75,1995-04-07,RET
1112,70045,ZOE,PATEL,399 High Street,2065136782,c1112@mail.example,31,1986-10-28,RET
1113,70046,SARA,IQBAL,502 High Street,2581927248,c1113@mail.example,50,1971-06-12,CORP
1114,70047,ANNA,RIVERA,570 High Street,2793352812,c1114@mail.example,69,1967-01-05,CORP
1115,70048,ELI,COSTA,470 High Street,2882618218,c1115@mail.example,75,1959-12-26,CORP
1116,70049,ELI,MORI,997 High Street,2878501956,c1116@mail.example,66,1986-05-11,RET
1117,70050,NOAH,IQBAL,205 High Street,2227576598,c1117@mail.example,57,1953-10-20,CORP
1118,70051,LIAM,MORI,933 High Street,2235339287,c1118@mail.example,59,1955-05-04,CORP
1119,70052,KAI,PATEL,701 High Street,2244819851,c1119@mail.example,37,1995-12-26,CORP
1120,70053,ELI,CHEN,866 High Street,2164975847,c1120@mail.example,55,1964-04-18,RET
