TX_ID,ACCT_ID,FIRST_NM,LAST_NM,TX_DTTM,TX_AMT,TX_TYPE_CD,BAL_AMT,TX_DESC,CRDT_SCORE,CUST_ID
5040,1019,OMAR,KIM,2024-01-12 07:39:00,-2301.48,DR,81593.83,UTILITY PAYMENT,432,70049
5041,1019,ZOE,OKAFOR,2024-01-14 16:46:00,4727.03,CR,85246.13,POS PURCHASE,763,70049
5042,1019,NINA,CHEN,2024-01-12 09:27:00,4340.72,DR,14168.26,CASH DEPOSIT,793,70049
5043,1020,ELI,LARSEN,2024-01-13 18:14:00,-2712.72,DR,33138.78,ONLINE TRANSFER,554,70050
5044,1020,LEO,SILVA,2024-01-17 10:27:00,4452.63,CR,28117.26,UTILITY PAYMENT,495,70050
5045,1020,NOAH,COSTA,2024-01-21 16:19:00,-1510.21,CR,34535.33,ONLINE TRANSFER,810,70050
5046,1021,ANNA,NOVAK,2024-01-22 15:50:00,-3551.87,DR,42517.99,SALARY CREDIT,793,70051
5047,1021,ELI,NOVAK,2024-01-18 12:07:00,-2969.45,CR,93086.52,UTILITY PAYMENT,447,70051
5048,1021,IVY,CHEN,2024-01-17 22:01:00,-93.33,DR,93621.61,ATM WITHDRAWAL,437,70051
5049,1022,MIA,DUBOIS,2024-01-07 22:41:00,-3430.66,DR,28111.76,POS PURCHASE,469,70052
5050,1022,LEO,OKAFOR,2024-01-21 05:55:00,3163.74,DR,58942.22,CARD PAYMENT,770,70052
5051,1023,TOM,BAKER,2024-01-20 19:24:00,4041.25,DR,87731.62,ATM WITHDRAWAL,643,70053
5052,1023,SARA,WEISS,2024-01-09 02:51:00,-4750.7,DR,89003.92,POS PURCHASE,575,70053
5053,1024,ZOE,WEISS,2024-01-01 00:40:00,-3996.05,DR,36461.43,ONLINE TRANSFER,337,70054
5054,1025,ZOE,WEISS,2024-01-13 04:47:00,874.02,CR,10951.99,POS PURCHASE,333,70055
5055,1025,KAI,CHEN,2024-01-28 23:47:00,-1844.46,DR,96325.12,SALARY CREDIT,309,70055
5056,1025,LIAM,WEISS,2024-01-08 19:43:00,-279.94,CR,53862.99,CASH DEPOSIT,364,70055
5057,1025,NOAH,CHEN,2024-01-26 18:32:00,-3261.18,CR,12927.31,CARD PAYMENT,538,70055
5058,1026,RAVI,WEISS,2024-01-22 03:22:00,-4964.54,CR,81206.59,STANDING ORDER,700,70056
5059,1027,SARA,BAKER,2024-01-20 13:23:00,-4280.94,CR,10494.15,STANDING ORDER,668,70057
5060,1027,LIAM,CHEN,2024-01-13 03:02:00,-4436.29,CR,14106.05,UTILITY PAYMENT,788,70057
5061,1027,SARA,CHEN,2024-01-20 12:56:00,2870.19,CR,46035.26,UTILITY PAYMENT,365,70057
5062,1028,MAX,MORI,2024-01-19 14:58:00,-4745.3,CR,97393.8,CARD PAYMENT,486,70058
5063,1029,ANNA,OKAFOR,2024-01-10 09:53:00,418.91,DR,27750.46,CARD PAYMENT,727,70059
5064,1030,OMAR,MORI,2024-01-29 00:57:00,1875.86,DR,30936.66,ONLINE TRANSFER,624,70060
5065,1031,OMAR,RIVERA,2024-01-18 23:31:00,-295.15,CR,33130.17,POS PURCHASE,366,70061
5066,1031,IVY,WEISS,2024-01-21 15:06:00,3115.12,DR,82600.65,CARD PAYMENT,590,70061
5067,1031,LIAM,CHEN,2024-01-24 16:51:00,65.81,CR,91093.25,UTILITY PAYMENT,502,70061
5068,1031,SARA,SILVA,2024-01-15 13:24:00,-3690.81,CR,20383.85,ONLINE TRANSFER,327,70061
5069,1032,AVA,NOVAK,2024-01-26 11:57:00,-3997.12,CR,26531.46,ATM WITHDRAWAL,635,70062
5070,1032,MIA,LARSEN,2024-01-04 16:08:00,4457.0,CR,90815.16,ATM WITHDRAWAL,331,70062
5071,1032,NOAH,DUBOIS,2024-01-05 13:02:00,1696.52,DR,30950.69,CARD PAYMENT,338,70062
5072,1032,NOAH,BAKER,2024-01-28 16:00:00,626.84,CR,67102.92,CASH DEPOSIT,823,70062
5073,1033,LEO,NOVAK,2024-01-04 17:35:00,2929.74,DR,43747.2,CARD PAYMENT,368,70063
5074,1033,NINA,COSTA,2024-01-30 03:54:00,-2603.22,DR,16202.16,CASH DEPOSIT,610,70063
5075,1034,LEO,BAKER,2024-01-28 22:24:00,-145.48,CR,96134.65,SALARY CREDIT,447,70064
5076,1034,AVA,CHEN,2024-01-16 03:03:00,-4452.08,CR,4965.08,STANDING ORDER,826,70064
5077,1034,RAVI,NOVAK,2024-01-21 15:48:00,-921.72,CR,62756.87,UTILITY PAYMENT,586,70064
5078,1034,ANNA,RIVERA,2024-01-02 01:48:00,-3690.31,CR,54005.26,CASH DEPOSIT,508,70064
5079,1035,AVA,HAYES,2024-01-30 12:29:00,-267.31,DR,14272.91,POS PURCHASE,640,70065
5080,1035,OMAR,COSTA,2024-01-06 14:37:00,2479.25,CR,13771.74,CASH DEPOSIT,455,70065
5081,1036,OMAR,MORI,2024-01-16 06:45:00,4461.73,CR,35071.29,SALARY CREDIT,364,70066
5082,1036,RAVI,IQBAL,2024-01-17 03:43:00,-1964.14,CR,23906.51,POS PURCHASE,365,70066
5083,1037,LIAM,IQBAL,2024-01-22 22:15:00,1223.02,DR,86515.83,STANDING ORDER,793,70067
5084,1037,RAVI,PATEL,2024-01-05 03:47:00,-1036.51,CR,53728.74,CASH DEPOSIT,398,70067
5085,1038,RAVI,IQBAL,2024-01-01 16:42:00,-2121.34,CR,97285.17,STANDING ORDER,838,70068
5086,1038,LEO,SINGH,2024-01-01 15:08:00,-3677.17,DR,30023.61,ATM WITHDRAWAL,505,70068
5087,1038,ANNA,DUBOIS,2024-01-03 11:28:00,-2209.26,DR,69461.12,CARD PAYMENT,818,70068
5088,1038,OMAR,WEISS,2024-01-12 12:22:00,2458.88,DR,29368.04,ATM WITHDRAWAL,842,70068
5089,1039,OMAR,NOVAK,2024-01-11 13:25:00,1634.33,CR,3580.61,SALARY CREDIT,535,70069
5090,1039,LEO,OKAFOR,2024-01-18 20:16:00,-4960.37,DR,79746.0,ATM WITHDRAWAL,433,70069
5091,1040,RAVI,SILVA,2024-01-01 02:36:00,390.02,DR,33987.16,UTILITY PAYMENT,326,70070
5092,1041,AVA,SINGH,2024-01-25 19:41:00,-897.6,CR,8400.1,STANDING ORDER,662,70071
5093,1041,LEO,NOVAK,2024-01-01 22:12:00,4058.22,DR,80703.89,UTILITY PAYMENT,813,70071
5094,1041,RAVI,IQBAL,2024-01-24 13:02:00,3882.96,CR,92812.37,CARD PAYMENT,460,70071
5095,1042,AVA,WEISS,2024-01-04 08:21:00,3903.26,CR,18972.58,ATM WITHDRAWAL,468,70072
5096,1042,NINA,COSTA,2024-01-17 20:30:00,1795.22,DR,57684.48,CARD PAYMENT,696,70072
5097,1042,IVY,RIVERA,2024-01-17 07:03:00,970.08,DR,20634.02,ATM WITHDRAWAL,466,70072
5098,1043,RAVI,COSTA,2024-01-10 20:50:00,1509.9,DR,11664.7,ONLINE TRANSFER,681,70073
5099,1043,ZOE,HAYES,2024-01-30 10:36:00,-2844.16,DR,5419.29,ONLINE TRANSFER,730,70073
5100,1043,LIAM,CHEN,2024-01-18 14:51:00,676.87,CR,10276.35,SALARY CREDIT,749,70073
5101,1044,ZOE,BAKER,2024-01-20 15:04:00,-2159.53,CR,80134.22,ONLINE TRANSFER,365,70074
5102,1044,NINA,LARSEN,2024-01-12 10:54:00,3898.25,DR,63437.11,ATM WITHDRAWAL,794,70074
5103,1044,NINA,SINGH,2024-01-25 11:12:00,1836.17,CR,56663.96,STANDING ORDER,510,70074
5104,1045,TOM,LARSEN,2024-01-29 07:03:00,4172.57,CR,50615.2,POS PURCHASE,685,70075
5105,1045,NOAH,WEISS,2024-01-25 06:45:00,-947.5,DR,39071.4,STANDING ORDER,557,70075
5106,1046,KAI,OKAFOR,2024-01-23 13:27:00,-3626.42,DR,1578.26,UTILITY PAYMENT,722,70076
5107,1046,IVY,WEISS,2024-01-04 01:40:00,4713.01,DR,36398.98,SALARY CREDIT,807,70076
5108,1046,NOAH,SINGH,2024-01-08 05:33:00,-1089.26,CR,96439.38,SALARY CREDIT,403,70076
5109,1046,ELI,KIM,2024-01-30 08:52:00,-767.76,DR,62444.48,STANDING ORDER,774,70076
5110,1047,ELI,NOVAK,2024-01-27 06:51:00,3456.02,DR,23260.51,ATM WITHDRAWAL,764,70077
5111,1047,NINA,IQBAL,2024-01-10 04:04:00,-3226.99,CR,95840.85,SALARY CREDIT,750,70077
5112,1047,OMAR,SINGH,2024-01-28 20:25:00,-4231.38,CR,89035.17,UTILITY PAYMENT,378,70077
5113,1048,IVY,SINGH,2024-01-12 11:12:00,2002.14,CR,64860.88,ONLINE TRANSFER,812,70078
5114,1048,SARA,OKAFOR,2024-01-01 08:00:00,-4245.26,DR,55277.0,STANDING ORDER,672,70078
5115,1048,TOM,OKAFOR,2024-01-04 23:19:00,105.72,DR,84164.41,SALARY CREDIT,640,70078
5116,1049,MIA,BAKER,2024-01-04 17:07:00,-2192.11,CR,32015.61,POS PURCHASE,583,70079
5117,1049,ZOE,HAYES,2024-01-01 05:06:00,-3302.58,DR,42034.93,STANDING ORDER,325,70079
5118,1049,RAVI,BAKER,2024-01-07 01:54:00,1013.64,CR,50683.91,SALARY CREDIT,522,70079
5119,1050,IVY,WEISS,2024-01-14 23:48:00,-327.53,CR,27361.18,CARD PAYMENT,473,70080
5120,1051,RAVI,DUBOIS,2024-01-19 00:30:00,-2157.63,DR,44947.37,STANDING ORDER,657,70081
5121,1051,KAI,DUBOIS,2024-01-28 11:06:00,772.91,DR,55347.3,UTILITY PAYMENT,724,70081
5122,1051,ANNA,IQBAL,2024-01-09 22:39:00,4752.06,DR,11347.31,ATM WITHDRAWAL,505,70081
5123,1051,LEO,CHEN,2024-01-15 11:28:00,-3327.31,CR,54183.03,ATM WITHDRAWAL,847,70081
5124,1052,MAX,SINGH,2024-01-08 22:59:00,1377.66,CR,73440.84,POS PURCHASE,433,70082
5125,1052,NOAH,DUBOIS,2024-01-09 03:01:00,3599.71,CR,66135.19,UTILITY PAYMENT,838,70082
5126,1052,NINA,HAYES,2024-01-27 10:53:00,3310.15,CR,94114.78,ONLINE TRANSFER,721,70082
5127,1053,KAI,SINGH,2024-01-12 16:56:00,-2226.74,CR,8316.43,CARD PAYMENT,669,70083
5128,1054,NOAH,LARSEN,2024-01-03 18:31:00,3307.71,CR,70021.91,SALARY CREDIT,779,70084
5129,1054,OMAR,HAYES,2024-01-23 21:25:00,-3539.17,CR,50811.32,ONLINE TRANSFER,471,70084
5130,1054,LEO,KIM,2024-01-10 15:04:00,-979.17,DR,52775.02,CARD PAYMENT,440,70084
5131,1055,ANNA,WEISS,2024-01-16 06:53:00,3969.24,CR,79500.63,ATM WITHDRAWAL,631,70085
5132,1056,IVY,DUBOIS,2024-01-22 07:50:00,245.27,CR,90800.1,ATM WITHDRAWAL,449,70086
5133,1056,NOAH,WEISS,2024-01-11 19:31:00,2975.97,CR,84848.46,STANDING ORDER,745,70086
5134,1056,MIA,COSTA,2024-01-05 18:40:00,-367.51,DR,49881.97,SALARY CREDIT,826,70086
5135,1056,ZOE,NOVAK,2024-01-24 00:15:00,-4628.11,DR,86356.9,CARD PAYMENT,563,70086
5136,1057,TOM,MORI,2024-01-19 22:27:00,2432.78,DR,57172.48,ATM WITHDRAWAL,638,70087
5137,1057,RAVI,NOVAK,2024-01-19 08:10:00,-3742.6,DR,91003.5,STANDING ORDER,584,70087
5138,1057,LIAM,SINGH,2024-01-22 12:25:00,1474.0,DR,28922.45,ATM WITHDRAWAL,498,70087
5139,1058,OMAR,WEISS,2024-01-28 13:30:00,1591.59,CR,6852.87,SALARY CREDIT,330,70088
5140,1058,MIA,RIVERA,2024-01-16 04:30:00,-749.93,DR,8558.15,UTILITY PAYMENT,432,70088
5141,1058,NOAH,IQBAL,2024-01-02 05:47:00,2638.24,DR,31446.07,SALARY CREDIT,655,70088
5142,1059,OMAR,OKAFOR,2024-01-08 11:05:00,-3439.82,DR,55711.63,SALARY CREDIT,545,70089
5143,1059,AVA,CHEN,2024-01-13 19:38:00,1347.37,CR,31039.53,CASH DEPOSIT,387,70089
5144,1059,LEO,COSTA,2024-01-02 14:32:00,-2936.0,CR,51803.89,UTILITY PAYMENT,831,70089
5145,1059,AVA,LARSEN,2024-01-01 11:11:00,1773.41,CR,20333.25,ATM WITHDRAWAL,409,70089
5146,1060,LIAM,BAKER,2024-01-18 07:33:00,4615.55,CR,53832.27,ONLINE TRANSFER,568,70090
5147,1060,AVA,WEISS,2024-01-14 19:33:00,-4076.65,CR,42646.81,ATM WITHDRAWAL,358,70090
5148,1060,MIA,RIVERA,2024-01-14 21:40:00,1303.89,DR,55888.84,SALARY CREDIT,677,70090
5149,1060,RAVI,RIVERA,2024-01-30 08:21:00,-1932.05,DR,6883.52,UTILITY PAYMENT,687,70090
5150,1061,IVY,IQBAL,2024-01-30 07:08:00,-434.76,CR,6843.12,UTILITY PAYMENT,391,70091
5151,1061,AVA,WEISS,2024-01-14 10:08:00,-1114.24,CR,39632.44,STANDING ORDER,370,70091
5152,1062,TOM,COSTA,2024-01-11 12:00:00,961.64,DR,46047.96,SALARY CREDIT,822,70092
5153,1062,LIAM,PATEL,2024-01-11 04:43:00,-4744.57,CR,41122.48,SALARY CREDIT,308,70092
5154,1063,OMAR,LARSEN,2024-01-22 05:39:00,3974.29,DR,25918.33,ATM WITHDRAWAL,594,70093
5155,1063,LIAM,CHEN,2024-01-04 01:20:00,-4934.71,DR,28308.42,POS PURCHASE,740,70093
5156,1063,LEO,DUBOIS,2024-01-29 20:22:00,-726.43,DR,8708.77,STANDING ORDER,823,70093
5157,1064,ZOE,NOVAK,2024-01-08 06:33:00,-3836.79,DR,43655.54,POS PURCHASE,378,70094
5158,1065,LEO,SINGH,2024-01-06 01:26:00,1817.65,CR,64898.58,ONLINE TRANSFER,839,70095
5159,1066,IVY,BAKER,2024-01-26 07:16:00,-4411.08,CR,79430.3,ATM WITHDRAWAL,740,70096
5160,1066,IVY,WEISS,2024-01-07 04:26:00,-3543.06,CR,80638.95,STANDING ORDER,476,70096
5161,1067,OMAR,COSTA,2024-01-08 20:48:00,397.5,DR,92189.38,CARD PAYMENT,325,70000
5162,1067,OMAR,IQBAL,2024-01-15 04:02:00,-2150.62,DR,15796.04,ONLINE TRANSFER,332,70000
5163,1068,MIA,MORI,2024-01-09 20:29:00,-4955.08,DR,41442.82,POS PURCHASE,749,70001
5164,1069,MIA,IQBAL,2024-01-01 03:13:00,-2808.46,CR,48198.83,UTILITY PAYMENT,681,70002
5165,1069,MIA,PATEL,2024-01-05 12:51:00,-695.23,DR,83485.92,ONLINE TRANSFER,487,70002
5166,1069,ZOE,CHEN,2024-01-18 02:48:00,4014.83,DR,49386.96,STANDING ORDER,575,70002
5167,1070,RAVI,COSTA,2024-01-26 05:22:00,-2181.17,DR,18032.47,POS PURCHASE,407,70003
5168,1070,NINA,RIVERA,2024-01-23 06:11:00,-3349.84,CR,65626.68,CASH DEPOSIT,390,70003
5169,1070,TOM,OKAFOR,2024-01-11 15:07:00,-648.06,DR,98832.44,SALARY CREDIT,522,70003
5170,1070,ELI,SILVA,2024-01-26 12:40:00,2263.83,DR,89646.68,CARD PAYMENT,837,70003
5171,1071,IVY,HAYES,2024-01-08 09:13:00,-889.3,DR,72661.63,ATM WITHDRAWAL,692,70004
5172,1071,ELI,COSTA,2024-01-01 12:45:00,3568.83,DR,68045.11,CASH DEPOSIT,579,70004
5173,1071,SARA,MORI,2024-01-04 16:22:00,58.77,DR,95875.2,STANDING ORDER,422,70004
5174,1072,ELI,NOVAK,2024-01-04 09:12:00,-4575.84,DR,8833.55,ATM WITHDRAWAL,668,70005
5175,1073,ANNA,HAYES,2024-01-07 02:23:00,1482.86,CR,43243.52,CASH DEPOSIT,431,70006
5176,1073,LEO,DUBOIS,2024-01-04 23:29:00,-4363.64,CR,70823.37,ATM WITHDRAWAL,551,70006
5177,1073,TOM,NOVAK,2024-01-24 16:37:00,-989.61,CR,80707.15,POS PURCHASE,351,70006
5178,1074,ZOE,OKAFOR,2024-01-17 04:42:00,-2677.97,CR,69605.58,ATM WITHDRAWAL,350,70007
5179,1075,LIAM,PATEL,2024-01-08 17:26:00,81.67,CR,49913.91,UTILITY PAYMENT,582,70008
5180,1075,NOAH,SILVA,2024-01-23 04:23:00,3249.21,DR,75276.9,STANDING ORDER,428,70008
5181,1075,KAI,COSTA,2024-01-18 11:28:00,4341.06,CR,40627.0,POS PURCHASE,459,70008
5182,1076,KAI,COSTA,2024-01-04 12:39:00,-3139.76,CR,45945.37,UTILITY PAYMENT,306,70009
5183,1076,MIA,RIVERA,2024-01-24 13:09:00,-2400.37,CR,9472.82,ONLINE TRANSFER,705,70009
5184,1077,LEO,KIM,2024-01-07 12:04:00,-4784.27,DR,68848.79,CARD PAYMENT,761,70010
5185,1077,ZOE,SINGH,2024-01-13 09:06:00,1755.77,CR,82503.61,POS PURCHASE,468,70010
5186,1077,ZOE,KIM,2024-01-03 10:26:00,99.13,DR,14035.14,CARD PAYMENT,482,70010
5187,1078,KAI,COSTA,2024-01-04 18:47:00,1864.06,CR,82344.58,CASH DEPOSIT,652,70011
5188,1078,NOAH,CHEN,2024-01-06 02:55:00,-4311.33,DR,38052.44,CARD PAYMENT,820,70011
5189,1078,AVA,PATEL,2024-01-25 05:46:00,550.92,DR,29420.17,UTILITY PAYMENT,505,70011
5190,1078,MIA,RIVERA,2024-01-06 17:21:00,-4921.84,DR,39765.39,CASH DEPOSIT,730,70011
5191,1079,IVY,OKAFOR,2024-01-17 11:12:00,-4402.89,DR,22216.67,SALARY CREDIT,484,70012
5192,1079,OMAR,BAKER,2024-01-09 21:39:00,324.83,DR,41797.02,UTILITY PAYMENT,740,70012
5193,1080,IVY,COSTA,2024-01-13 04:39:00,2369.0,CR,74348.96,POS PURCHASE,703,70013
5194,1080,MAX,MORI,2024-01-28 18:22:00,-3097.92,CR,74061.75,CASH DEPOSIT,717,70013
5195,1080,OMAR,LARSEN,2024-01-07 07:31:00,-1709.51,DR,78112.66,STANDING ORDER,545,70013
5196,1081,ANNA,IQBAL,2024-01-26 15:10:00,2045.87,DR,6261.17,ONLINE TRANSFER,789,70014
5197,1081,TOM,BAKER,2024-01-19 15:20:00,-4051.64,CR,29072.04,STANDING ORDER,845,70014
5198,1082,NINA,CHEN,2024-01-04 16:20:00,-2706.0,CR,10044.75,UTILITY PAYMENT,797,70015
5199,1082,NINA,HAYES,2024-01-23 01:48:00,2885.44,DR,31462.15,SALARY CREDIT,716,70015
5200,1082,KAI,SILVA,2024-01-05 10:46:00,-3932.35,CR,22569.89,SALARY CREDIT,690,70015
5201,1083,NINA,SINGH,2024-01-04 15:57:00,2270.1,DR,59622.88,CARD PAYMENT,840,70016
5202,1083,KAI,COSTA,2024-01-30 22:57:00,2553.0,DR,41430.69,ONLINE TRANSFER,693,70016
5203,1083,IVY,KIM,2024-01-30 22:21:00,1457.69,DR,64236.29,POS PURCHASE,596,70016
5204,1084,KAI,WEISS,2024-01-05 16:11:00,3498.02,CR,37472.66,STANDING ORDER,359,70017
5205,1084,ANNA,DUBOIS,2024-01-23 13:07:00,-2570.8,CR,32537.37,ONLINE TRANSFER,519,70017
5206,1084,NINA,PATEL,2024-01-14 19:51:00,-666.84,CR,29618.36,POS PURCHASE,644,70017
5207,1085,TOM,KIM,2024-01-09 16:29:00,-3101.29,CR,77140.16,CARD PAYMENT,396,70018
5208,1085,MAX,NOVAK,2024-01-14 23:33:00,-2220.03,DR,87016.19,SALARY CREDIT,348,70018
5209,1085,LEO,DUBOIS,2024-01-26 02:26:00,-4109.98,CR,73805.14,SALARY CREDIT,487,70018
5210,1085,OMAR,IQBAL,2024-01-06 00:42:00,-1875.28,CR,66475.29,STANDING ORDER,824,70018
5211,1086,OMAR,COSTA,2024-01-29 19:31:00,-3443.17,CR,81494.19,ONLINE TRANSFER,665,70019
5212,1086,RAVI,IQBAL,2024-01-24 22:05:00,1684.15,DR,72419.72,CARD PAYMENT,375,70019
5213,1086,SARA,SINGH,2024-01-16 16:23:00,-3575.38,DR,70158.39,ONLINE TRANSFER,775,70019
5214,1086,ANNA,LARSEN,2024-01-08 20:23:00,-336.73,CR,91314.1,ATM WITHDRAWAL,708,70019
5215,1087,RAVI,KIM,2024-01-10 16:31:00,3540.4,CR,11902.62,CARD PAYMENT,798,70020
5216,1087,MAX,HAYES,2024-01-02 09:11:00,-967.83,CR,50233.69,CARD PAYMENT,539,70020
5217,1088,RAVI,WEISS,2024-01-18 06:15:00,-1249.64,DR,88473.83,STANDING ORDER,379,70021
5218,1088,LIAM,KIM,2024-01-25 21:52:00,-1832.69,DR,50847.15,POS PURCHASE,736,70021
5219,1088,ZOE,HAYES,2024-01-25 19:40:00,3739.07,CR,97532.89,CASH DEPOSIT,814,70021
5220,1088,ANNA,IQBAL,2024-01-23 09:06:00,-3149.9,CR,66112.71,CARD PAYMENT,493,70021
5221,1089,IVY,BAKER,2024-01-22 23:05:00,2697.63,DR,23241.03,CASH DEPOSIT,613,70022
5222,1089,SARA,NOVAK,2024-01-11 13:34:00,-4047.2,DR,2969.46,CARD PAYMENT,487,70022
5223,1089,MIA,BAKER,2024-01-07 10:04:00,978.06,CR,96029.03,ONLINE TRANSFER,831,70022
5224,1089,OMAR,NOVAK,2024-01-24 07:44:00,2612.0,DR,61475.36,SALARY CREDIT,611,70022
5225,1090,SARA,HAYES,2024-01-06 21:27:00,-3127.78,DR,31116.16,POS PURCHASE,848,70023
5226,1090,LIAM,LARSEN,2024-01-24 01:05:00,-964.3,DR,62548.39,POS PURCHASE,766,70023
5227,1091,LEO,OKAFOR,2024-01-30 12:30:00,3435.06,CR,83800.7,ATM WITHDRAWAL,475,70024
5228,1091,OMAR,PATEL,2024-01-20 03:10:00,-379.53,DR,31997.78,ONLINE TRANSFER,712,70024
5229,1092,MIA,COSTA,2024-01-14 10:20:00,-264.03,DR,30884.31,CASH DEPOSIT,501,70025
5230,1092,LEO,PATEL,2024-01-24 21:29:00,-2795.04,DR,17173.75,ONLINE TRANSFER,784,70025
5231,1093,MIA,IQBAL,2024-01-29 06:44:00,4075.34,DR,84144.45,CARD PAYMENT,605,70026
5232,1094,SARA,OKAFOR,2024-01-07 06:11:00,-2961.87,CR,55432.04,POS PURCHASE,498,70027
5233,1094,RAVI,COSTA,2024-01-22 23:27:00,4115.2,DR,35402.17,CARD PAYMENT,827,70027
5234,1094,LEO,RIVERA,2024-01-14 17:00:00,1856.75,CR,20988.69,SALARY CREDIT,696,70027
5235,1094,NINA,DUBOIS,2024-01-28 07:55:00,2473.42,CR,93083.02,CARD PAYMENT,391,70027
5236,1095,ANNA,MORI,2024-01-02 11:12:00,2604.22,DR,36009.67,STANDING ORDER,698,70028
5237,1095,SARA,IQBAL,2024-01-02 01:29:00,-1401.49,CR,49805.12,ATM WITHDRAWAL,573,70028
5238,1095,NINA,IQBAL,2024-01-03 07:47:00,3148.47,DR,79258.24,STANDING ORDER,717,70028
5239,1095,ZOE,KIM,2024-01-14 04:47:00,3680.66,DR,84859.65,UTILITY PAYMENT,678,70028
