Title,First_Name,Middle_Name,Last_Name,Member_ID,Member_Suffix,Birth_Date,Gender_Code,Member_Record_Number,Social_Security_Number,Member_Type_Code,Original_Effective_Date,Relationship_to_Subscriber_Code,Relationship_to_Subscriber_Code_Label
DR,Liam,L,Singh,30054,,1995-02-27,F,500053,100001961,3,2019-07-01,1,CHILD
MR,Ava,L,Patel,30055,II,1990-04-17,M,500054,,1,2017-10-01,19,SELF
MRS,Ava,S,Hayes,30056,II,1988-08-25,M,500055,100002035,,2010-03-01,18,CHILD
DR,Anna,M,Novak,30057,,1987-07-18,M,500056,,1,2023-02-01,18,CHILD
DR,Kai,O,Silva,30058,,1974-05-01,M,500057,100002109,1,2011-11-01,19,SPOUSE
MRS,Ivy,M,Mori,30059,,1954-09-10,M,500058,,3,2011-09-01,1,SELF
MS,Leo,A,Okafor,30060,,1952-05-25,F,500059,100002183,2,2014-04-01,1,SELF
MRS,Tom,O,Singh,30061,II,1950-07-03,M,500060,,3,2018-06-01,1,CHILD
DR,Tom,T,Hayes,30062,II,1963-02-04,F,500061,100002257,2,2018-07-01,2,SPOUSE
MRS,Leo,E,Mori,30063,JR,1968-08-05,M,500062,,1,2018-03-01,18,CHILD
MRS,Omar,Z,Baker,30064,,1970-02-04,F,500063,100002331,,2014-02-01,18,
MRS,Anna,M,Chen,30065,II,1957-05-03,M,500064,,3,2019-07-01,19,SELF
MRS,Zoe,N,Iqbal,30066,SR,1977-01-04,F,500065,100002405,2,2019-01-01,2,SPOUSE
MRS,Liam,O,Larsen,30067,,1953-01-19,F,500066,,1,2019-08-01,1,CHILD
MS,Mia,M,Mori,30068,SR,1956-06-21,M,500067,100002479,3,2017-08-01,1,OTHER
MR,Eli,E,Larsen,30069,SR,1992-03-22,M,500068,,1,2021-11-01,18,OTHER
DR,Eli,N,Iqbal,30070,JR,1999-06-14,M,500069,100002553,2,2021-11-01,1,OTHER
MS,Ava,E,Iqbal,30071,II,1961-08-14,M,500070,,2,2014-08-01,2,SELF
MRS,Max,N,Kim,30072,,1954-04-16,M,500071,100002627,,2018-06-01,18,SPOUSE
DR,Ava,M,Patel,30073,JR,1950-11-15,M,500072,,3,2023-11-01,2,OTHER
DR,Anna,I,Dubois,30074,JR,1943-09-05,F,500073,100002701,2,2012-10-01,1,CHILD
MRS,Eli,N,Hayes,30075,II,1984-02-20,M,500074,,3,2015-01-01,1,SPOUSE
DR,Mia,N,Silva,30076,II,1946-05-15,F,500075,100002775,3,2020-11-01,18,SPOUSE
MS,Max,Z,Silva,30077,II,1998-11-06,F,500076,,1,2023-11-01,19,CHILD
MS,Mia,K,Rivera,30078,SR,1959-05-28,F,500077,100002849,1,2016-06-01,1,CHILD
MR,Leo,Z,Silva,30079,SR,1956-01-03,F,500078,,1,2019-04-01,2,SELF
MS,Ivy,M,Baker,30080,SR,1965-05-21,F,500079,100002923,,2017-04-01,18,
MR,Leo,M,Rivera,30081,SR,1980-05-05,F,500080,,1,2010-11-01,2,SELF
MR,Sara,E,Chen,30082,II,1988-10-24,M,500081,100002997,2,2021-04-01,2,OTHER
MRS,Anna,S,Silva,30083,,1996-10-08,F,500082,,1,2014-08-01,18,OTHER
MRS,Noah,S,Novak,30084,JR,1959-09-28,M,500083,100003071,1,2022-01-01,2,SPOUSE
MS,Mia,M,Dubois,30085,II,1950-02-13,M,500084,,3,2022-10-01,18,CHILD
MR,Tom,M,Hayes,30086,JR,1943-04-26,M,500085,100003145,1,2023-12-01,1,OTHER
MRS,Noah,A,Okafor,30087,SR,1944-04-09,M,500086,,3,2012-10-01,19,CHILD
DR,Nina,M,Dubois,30088,JR,1981-10-12,F,500087,100003219,,2016-08-01,1,CHILD
MR,Ivy,N,Kim,30089,II,1970-07-26,F,500088,,1,2022-03-01,1,OTHER
DR,Noah,T,Silva,30090,,1991-10-14,F,500089,100003293,2,2018-01-01,18,SPOUSE
MR,Noah,N,Mori,30091,,1972-11-22,M,500090,,1,2018-02-01,1,OTHER
MS,Noah,L,Iqbal,30092,JR,1992-04-19,F,500091,100003367,3,2016-03-01,18,OTHER
MR,Anna,K,Hayes,30093,JR,1944-08-14,F,500092,,1,2013-03-01,18,SPOUSE
MR,Ravi,N,Dubois,30094,,1957-06-27,M,500093,100003441,3,2010-03-01,19,OTHER
MRS,Eli,K,Silva,30095,SR,1944-12-13,M,500094,,2,2021-05-01,19,SPOUSE
DR,Mia,M,Singh,30096,II,1948-07-28,M,500095,100003515,,2014-01-01,1,
MS,Tom,N,Dubois,30097,JR,1945-10-18,F,500096,,3,2012-01-01,19,CHILD
MS,Eli,L,Chen,30098,,1971-01-22,F,500097,100003589,1,2012-12-01,2,OTHER
MRS,Max,O,Kim,30099,SR,1996-06-17,M,500098,,3,2021-01-01,19,OTHER
MRS,Omar,K,Baker,30100,II,1981-04-18,M,500099,100003663,3,2010-03-01,19,CHILD
DR,Anna,S,Larsen,30101,,1946-02-08,M,500100,,2,2022-08-01,19,OTHER
MRS,Nina,T,Dubois,30102,,1964-07-28,M,500101,100003737,3,2014-04-01,1,CHILD
MRS,Anna,A,Singh,30103,,1941-07-24,M,500102,,1,2011-11-01,18,SPOUSE
MR,Anna,A,Silva,30104,,1991-07-01,F,500103,100003811,,2023-04-01,2,CHILD
DR,Ava,A,Baker,30105,JR,1973-07-04,M,500104,,3,2020-12-01,18,CHILD
DR,Liam,A,Silva,30106,,1963-11-07,M,500105,100003885,3,2021-02-01,18,OTHER
MR,Max,Z,Novak,30107,JR,1974-07-09,M,500106,,1,2018-05-01,2,OTHER
MR,Mia,E,Costa,30108,II,1988-07-21,M,500107,100003959,3,2020-08-01,1,SELF
MRS,Leo,O,Patel,30109,,1999-07-23,M,500108,,1,2019-08-01,18,OTHER
MR,Omar,T,Mori,30110,SR,1940-08-19,M,500109,100004033,2,2023-08-01,19,CHILD
MS,Leo,L,Costa,30111,JR,1946-10-06,M,500110,,2,2012-12-01,1,SELF
MS,Noah,N,Novak,30112,II,1946-07-18,M,500111,100004107,,2018-01-01,1,
MR,Mia,T,Weiss,30113,JR,1963-07-26,M,500112,,3,2012-09-01,1,CHILD
DR,Sara,O,Costa,30114,II,1988-12-04,M,500113,100004181,3,2020-12-01,1,SELF
MS,Zoe,A,Mori,30115,II,1979-01-13,M,500114,,1,2018-09-01,2,CHILD
DR,Mia,K,Hayes,30116,SR,1940-07-01,F,500115,100004255,3,2014-06-01,19,CHILD
MR,Ava,L,Singh,30117,SR,1950-07-01,M,500116,,3,2014-06-01,1,CHILD
MR,Nina,M,Novak,30118,SR,1968-09-19,M,500117,100004329,1,2023-04-01,19,SELF
MRS,Ravi,T,Singh,30119,JR,1962-01-22,F,500118,,2,2016-04-01,19,OTHER
DR,Zoe,K,Chen,30120,JR,1961-06-21,F,500119,100004403,,2022-11-01,2,SPOUSE
DR,Nina,E,Hayes,30121,SR,1995-10-15,M,500120,,1,2012-03-01,19,OTHER
MR,Nina,N,Iqbal,30122,,1993-10-18,M,500121,100004477,2,2012-07-01,18,CHILD
DR,Anna,L,Baker,30123,,1946-05-13,F,500122,,2,2010-04-01,19,CHILD
MR,Mia,R,Baker,30124,JR,1977-02-11,F,500123,100004551,1,2017-06-01,19,SPOUSE
MR,Max,T,Costa,30125,SR,1949-02-13,M,500124,,3,2021-09-01,19,SPOUSE
DR,Sara,L,Okafor,30126,,1990-02-08,F,500125,100004625,2,2011-10-01,19,SELF
DR,Max,L,Rivera,30127,SR,1971-08-13,M,500126,,3,2012-12-01,19,SELF
DR,Mia,A,Novak,30128,,1987-07-13,F,500127,100004699,,2018-08-01,19,
MR,Noah,L,Hayes,30129,II,1941-09-15,F,500128,,3,2020-02-01,18,CHILD
MR,Zoe,O,Costa,30130,,1944-08-05,M,500129,100004773,3,2010-12-01,1,CHILD
DR,Eli,S,Kim,30131,SR,1954-07-18,M,500130,,3,2017-07-01,1,SPOUSE
DR,Max,N,Baker,30132,,1966-01-21,F,500131,100004847,2,2018-03-01,2,OTHER
MS,Ava,R,Weiss,30133,II,1942-02-23,M,500132,,3,2021-05-01,18,SPOUSE
DR,Ivy,E,Baker,30134,II,1940-02-13,F,500133,100004921,1,2021-06-01,1,SELF
DR,Nina,S,Mori,30135,II,1978-11-28,M,500134,,2,2011-03-01,18,CHILD
MRS,Ivy,S,Novak,30136,SR,1955-09-13,M,500135,100004995,,2010-02-01,19,SPOUSE
DR,Liam,I,Baker,30137,,1952-08-15,F,500136,,2,2013-05-01,1,SELF
MS,Omar,I,Okafor,30138,,1963-10-15,F,500137,100005069,1,2010-10-01,1,OTHER
MRS,Sara,Z,Weiss,30139,JR,1945-06-16,F,500138,,3,2020-01-01,19,SPOUSE
DR,Omar,L,Kim,30140,JR,1979-03-22,M,500139,100005143,1,2015-03-01,19,CHILD
DR,Zoe,L,Novak,30141,JR,1975-03-22,M,500140,,1,2023-07-01,18,CHILD
MS,Ivy,O,Costa,30142,II,1945-12-20,F,500141,100005217,1,2021-12-01,1,CHILD
MR,Kai,N,Hayes,30143,II,1979-01-25,F,500142,,2,2012-07-01,19,OTHER
MR,Leo,A,Dubois,30144,SR,1944-02-16,M,500143,100005291,,2012-10-01,18,
DR,Nina,N,Novak,30145,JR,1941-01-09,M,500144,,1,2011-02-01,1,OTHER
MS,Tom,O,Patel,30146,II,1950-01-03,M,500145,100005365,2,2021-10-01,19,SELF
MS,Ava,Z,Singh,30147,SR,1989-10-06,F,500146,,2,2012-11-01,2,CHILD
MR,Liam,Z,Silva,30148,SR,1985-01-01,F,500147,100005439,3,2015-09-01,19,SELF
MR,Kai,S,Dubois,30149,II,1966-05-08,F,500148,,3,2018-05-01,1,OTHER
DR,Eli,S,Okafor,30150,II,1953-05-23,F,500149,100005513,1,2019-03-01,18,OTHER
DR,Sara,T,Chen,30151,JR,1956-05-13,F,500150,,2,2021-07-01,2,SELF
MS,Leo,I,Iqbal,30152,II,1999-03-10,F,500151,100005587,,2010-10-01,1,OTHER
DR,Kai,M,Costa,30153,,1948-12-23,M,500152,,2,2020-08-01,19,SPOUSE
DR,Mia,E,Rivera,30154,JR,1946-01-03,M,500153,100005661,1,2022-02-01,1,CHILD
DR,Leo,R,Singh,30155,SR,1995-02-23,M,500154,,3,2022-06-01,1,SELF
MRS,Zoe,O,Okafor,30156,SR,1969-08-16,M,500155,100005735,2,2022-09-01,19,SPOUSE
DR,Leo,K,Weiss,30157,II,1944-01-04,M,500156,,3,2010-03-01,1,SPOUSE
DR,Tom,I,Larsen,30158,,1953-03-06,M,500157,100005809,2,2015-04-01,19,SELF
MS,Ava,M,Costa,30159,II,1967-04-09,M,500158,,2,2010-09-01,18,CHILD
DR,Noah,M,Iqbal,30160,JR,1945-09-19,M,500159,100005883,,2022-01-01,18,
MS,Ravi,N,Mori,30161,II,1973-09-20,M,500160,,1,2011-11-01,19,SPOUSE
MR,Liam,L,Weiss,30162,JR,1996-11-22,F,500161,100005957,3,2011-08-01,2,SPOUSE
DR,Liam,R,Patel,30163,II,1971-07-26,M,500162,,1,2011-03-01,2,OTHER
MS,Mia,N,Okafor,30164,SR,1977-01-05,M,500163,100006031,3,2020-10-01,18,CHILD
MRS,Ivy,E,Larsen,30165,II,1959-08-25,F,500164,,3,2017-09-01,18,SELF
MR,Tom,S,Patel,30166,JR,1943-05-10,F,500165,100006105,2,2021-06-01,18,SELF
MRS,Leo,I,Kim,30167,,1983-11-19,F,500166,,2,2013-02-01,19,SELF
MRS,Ava,E,Singh,30168,SR,1991-07-16,M,500167,100006179,,2013-07-01,2,SPOUSE
DR,Eli,N,Weiss,30169,II,1968-02-06,M,500168,,3,2018-05-01,19,OTHER
MS,Mia,S,Hayes,30170,II,1952-12-11,F,500169,100006253,1,2016-05-01,19,CHILD
MR,Leo,I,Singh,30171,JR,1974-12-07,F,500170,,1,2018-09-01,19,SPOUSE
MS,Max,N,Hayes,30172,JR,1981-01-07,M,500171,100006327,1,2012-05-01,2,SELF
MR,Kai,I,Mori,30173,JR,1996-12-15,M,500172,,1,2013-06-01,19,SELF
DR,Mia,A,Novak,30174,,1953-10-28,M,500173,100006401,1,2011-12-01,19,OTHER
DR,Liam,L,Kim,30175,JR,1991-11-23,M,500174,,1,2015-09-01,2,CHILD
MRS,Ivy,M,Larsen,30176,SR,1941-01-25,M,500175,100006475,,2011-11-01,2,
MR,Sara,N,Iqbal,30177,II,1993-12-13,F,500176,,2,2022-12-01,19,CHILD
MRS,Liam,M,Patel,30178,SR,1953-12-11,M,500177,100006549,2,2015-04-01,18,SPOUSE
MRS,Eli,M,Singh,30179,,1973-10-09,M,500178,,2,2022-09-01,2,CHILD
MRS,Ivy,S,Baker,30180,II,1984-08-01,M,500179,100006623,2,2013-10-01,19,CHILD
MS,Anna,T,Silva,30181,SR,1970-08-18,M,500180,,2,2015-02-01,19,SPOUSE
MS,Liam,E,Chen,30182,SR,1992-04-19,M,500181,100006697,3,2017-03-01,1,CHILD
MS,Zoe,E,Iqbal,30183,JR,1985-05-13,F,500182,,1,2010-08-01,18,CHILD
MR,Ivy,M,Kim,30184,SR,1987-05-20,M,500183,100006771,,2016-12-01,1,CHILD
MS,Noah,R,Costa,30185,II,1984-03-05,M,500184,,2,2011-07-01,2,OTHER
MR,Max,L,Dubois,30186,SR,1974-10-13,F,500185,100006845,1,2014-06-01,18,SELF
MR,Nina,S,Hayes,30187,,1995-09-09,F,500186,,3,2023-06-01,1,OTHER
MRS,Kai,M,Patel,30188,JR,1945-09-11,F,500187,100006919,3,2014-09-01,2,OTHER
DR,Sara,N,Weiss,30189,JR,1991-12-06,M,500188,,2,2021-01-01,2,SELF
MS,Zoe,M,Patel,30190,,1978-03-23,F,500189,100006993,2,2015-10-01,19,OTHER
DR,Tom,M,Novak,30191,II,1983-07-16,M,500190,,3,2017-04-01,2,SPOUSE
DR,Tom,N,Dubois,30192,,1974-07-23,F,500191,100007067,,2016-04-01,2,
MRS,Eli,M,Kim,30193,,1990-12-03,M,500192,,2,2020-02-01,18,SELF
MRS,Nina,A,Novak,30194,SR,1959-08-08,M,500193,100007141,2,2018-03-01,18,CHILD
DR,Mia,I,Kim,30195,SR,1972-11-19,M,500194,,1,2014-05-01,19,SPOUSE
MS,Ava,T,Chen,30196,II,1985-03-27,F,500195,100007215,3,2019-06-01,19,OTHER
DR,Leo,T,Chen,30197,,1979-09-24,F,500196,,1,2021-10-01,1,CHILD
MS,Noah,M,Iqbal,30198,,1999-06-27,F,500197,100007289,3,2017-12-01,1,SPOUSE
MS,Anna,K,Baker,30199,JR,1964-10-16,M,500198,,3,2013-03-01,19,SPOUSE
MRS,Eli,Z,Okafor,30200,JR,1978-12-22,M,500199,100007363,,2017-06-01,1,OTHER
